review_id,stars,text
R501,3,"Fine in town, no signal in the countryside."
R502,3,"Cheap, but data is slow in Marrowby. Works most of the time."
R503,4,Fast 5G in Cragwell. The Unlimited Plus plan saves our family a fortune. Great coverage everywhere in Gullhaven.
R504,1,"The app logs me out and won't let me pay my bill. Coverage map is a lie in Saltmoor. No signal at home in Eastholm Quay, ever."
R505,3,"Fine in town, no signal in the countryside."
R506,2,Mobile data is painfully slow. They overcharged me $132.00 and refused a refund.
R507,1,They overcharged me $53.99 and refused a refund. Coverage map is a lie in Gullhaven. Charged roaming fees I never used.
R508,3,"Good plan, average app. Support is friendly but the hold times are long."
R509,5,"Honest pricing, no surprise charges. Reliable signal even on the train."
R510,2,"No signal at home in Port Ember, ever. The app logs me out and won't let me pay my bill. Calls drop constantly in Cragwell."
R511,3,"Cheap, but data is slow in Eastholm Quay. The 5G is fast when you can get it."
R512,4,Great coverage everywhere in Lowmere.
R513,5,"Great coverage everywhere in Gullhaven. Support sorted my problem in minutes, really friendly. Never had a dropped call in 7 years."
R514,5,"Support sorted my problem in minutes, really friendly. Friendly staff in the Cragwell shop. Switching with the eSIM took two minutes."
R515,3,The 5G is fast when you can get it.
R516,4,Excellent customer service. Works most of the time.
R517,4,"Switching with the eSIM took two minutes. Cheapest plan I have found, Prepay Go is excellent value. Cheap, but data is slow in Wrenfield."
R518,4,Great coverage everywhere in Cragwell. Reliable signal even on the train. Never had a dropped call in 5 years. Works most of the time.
R519,4,"Support sorted my problem in minutes, really friendly."
R520,4,"Support sorted my problem in minutes, really friendly. Excellent customer service. Never had a dropped call in 3 years. The 5G is fast when you can get it."
R521,3,"Good plan, average app. Decent value, though the bill was confusing."
R522,3,"Good plan, average app. Decent value, though the bill was confusing."
R523,5,"Cheapest plan I have found, Unlimited Plus is excellent value. Support sorted my problem in minutes, really friendly."
R524,4,"Cheapest plan I have found, Flex 10 is excellent value. The app is simple and paying the bill is easy."
R525,1,eSIM activation failed three times.
R526,5,"Honest pricing, no surprise charges. The Flex 30 plan saves our family a fortune."
R527,4,Fast 5G in Saltmoor. The Prepay Go plan saves our family a fortune. The app is simple and paying the bill is easy. The 5G is fast when you can get it.
R528,3,"Coverage is good but the app crashes sometimes. Cheap, but data is slow in Port Ember."
R529,3,"Support is friendly but the hold times are long. Cheap, but data is slow in Tern Harbour."
R530,1,The app logs me out and won't let me pay my bill. The app crashes every time I open it.
R531,2,"Waited 70 minutes on hold for support. My bill doubled and nobody could explain why. No signal at home in Saltmoor, ever. Support is friendly but the hold times are long."
R532,2,"No signal at home in Brackenridge, ever. Dropped calls, dropped calls, dropped calls."
R533,1,Charged roaming fees I never used.
R534,4,"Cheapest plan I have found, Family Share is excellent value. Support sorted my problem in minutes, really friendly. The 5G is fast when you can get it."
R535,2,Charged roaming fees I never used.
R536,3,Works most of the time. The 5G is fast when you can get it.
R537,2,They overcharged me $86.75 and refused a refund. Calls drop constantly in Cragwell. Mobile data is painfully slow.
R538,2,Charged roaming fees I never used. The app crashes every time I open it.
R539,1,"Dropped calls, dropped calls, dropped calls. Charged roaming fees I never used."
R540,5,Fast 5G in Saltmoor. Never had a dropped call in 5 years.
R541,5,"Friendly staff in the Marrowby shop. Honest pricing, no surprise charges. Great coverage everywhere in Port Ember."
R542,5,The Prepay Go plan saves our family a fortune. Friendly staff in the Wrenfield shop.
R543,1,"Calls drop constantly in Wrenfield. Dropped calls, dropped calls, dropped calls. eSIM activation failed three times."
R544,5,Excellent customer service.
R545,4,"Cheapest plan I have found, Flex 10 is excellent value. Great coverage everywhere in Tern Harbour. The 5G is fast when you can get it."
R546,4,Never had a dropped call in 5 years. Great coverage everywhere in Gullhaven.
R547,4,Reliable signal even on the train. Never had a dropped call in 7 years. The Prepay Go plan saves our family a fortune.
R548,2,Mobile data is painfully slow. Waited 40 minutes on hold for support. Calls drop constantly in Lowmere.
R549,5,Never had a dropped call in 7 years. The Unlimited Plus plan saves our family a fortune.
R550,1,eSIM activation failed three times. Calls drop constantly in Port Ember.
R551,1,Calls drop constantly in Saltmoor. My bill doubled and nobody could explain why. Waited 20 minutes on hold for support.
R552,5,Excellent customer service.
R553,5,Reliable signal even on the train. Switching with the eSIM took two minutes.
R554,3,"Cheap, but data is slow in Cragwell. Coverage is good but the app crashes sometimes."
R555,4,Fast 5G in Lowmere. Reliable signal even on the train.
R556,2,They overcharged me $46.50 and refused a refund. The app logs me out and won't let me pay my bill.
R557,4,Friendly staff in the Eastholm Quay shop. Excellent customer service.
R558,3,"Decent value, though the bill was confusing."
R559,5,The app is simple and paying the bill is easy.
R560,5,"Honest pricing, no surprise charges. Excellent customer service. Never had a dropped call in 6 years."
R561,3,"Cheap, but data is slow in Cragwell."
R562,5,Great coverage everywhere in Wrenfield. The Flex 10 plan saves our family a fortune. The app is simple and paying the bill is easy.
R563,1,"No signal at home in Brackenridge, ever."
R564,4,"Cheapest plan I have found, Unlimited Plus is excellent value. Never had a dropped call in 7 years. Honest pricing, no surprise charges."
R565,3,"Fine in town, no signal in the countryside. Cheap, but data is slow in Marrowby."
R566,1,"Dropped calls, dropped calls, dropped calls. They overcharged me $41.00 and refused a refund. Calls drop constantly in Eastholm Quay."
R567,5,Reliable signal even on the train. Switching with the eSIM took two minutes. Excellent customer service.
R568,1,"Dropped calls, dropped calls, dropped calls."
R569,4,"Switching with the eSIM took two minutes. Fast 5G in Wrenfield. Honest pricing, no surprise charges."
R570,4,"The Prepay Go plan saves our family a fortune. Cheapest plan I have found, Flex 10 is excellent value."
R571,3,Coverage is good but the app crashes sometimes.
R572,2,"Dropped calls, dropped calls, dropped calls."
R573,5,Great coverage everywhere in Cragwell. The Unlimited Plus plan saves our family a fortune.
R574,5,Fast 5G in Saltmoor. The app is simple and paying the bill is easy.
R575,1,The app crashes every time I open it. Coverage map is a lie in Lowmere.
R576,4,Great coverage everywhere in Tern Harbour. The Family Share plan saves our family a fortune. Excellent customer service.
R577,2,My bill doubled and nobody could explain why. Charged roaming fees I never used.
R578,4,Fast 5G in Port Ember.
R579,3,"Cheap, but data is slow in Brackenridge. The 5G is fast when you can get it."
R580,1,eSIM activation failed three times.
R581,5,Reliable signal even on the train. Friendly staff in the Brackenridge shop.
R582,1,The app logs me out and won't let me pay my bill. My bill doubled and nobody could explain why.
R583,1,"Dropped calls, dropped calls, dropped calls. Charged roaming fees I never used. Calls drop constantly in Eastholm Quay."
R584,5,"Never had a dropped call in 3 years. Cheapest plan I have found, Flex 30 is excellent value."
R585,5,"Honest pricing, no surprise charges."
R586,1,"eSIM activation failed three times. My bill doubled and nobody could explain why. Dropped calls, dropped calls, dropped calls."
R587,4,"The app is simple and paying the bill is easy. Support sorted my problem in minutes, really friendly."
R588,2,"Dropped calls, dropped calls, dropped calls. Calls drop constantly in Eastholm Quay."
R589,5,"Cheapest plan I have found, Flex 30 is excellent value. Support sorted my problem in minutes, really friendly."
R590,3,"Fine in town, no signal in the countryside. Good plan, average app."
R591,1,"No signal at home in Marrowby, ever. They overcharged me $108.99 and refused a refund."
R592,1,eSIM activation failed three times. My bill doubled and nobody could explain why.
R593,5,Switching with the eSIM took two minutes. The app is simple and paying the bill is easy. Excellent customer service.
R594,1,They overcharged me $133.00 and refused a refund. My bill doubled and nobody could explain why.
R595,2,The app crashes every time I open it. The app logs me out and won't let me pay my bill. Works most of the time.
R596,1,The app logs me out and won't let me pay my bill.
R597,4,The Flex 30 plan saves our family a fortune. Coverage is good but the app crashes sometimes.
R598,4,"Great coverage everywhere in Port Ember. The Flex 30 plan saves our family a fortune. Fine in town, no signal in the countryside."
R599,3,"Decent value, though the bill was confusing. Support is friendly but the hold times are long."
R600,5,"Never had a dropped call in 5 years. Cheapest plan I have found, Unlimited Plus is excellent value."
R601,5,The app is simple and paying the bill is easy. Great coverage everywhere in Lowmere.
R602,4,"Great coverage everywhere in Cragwell. Fast 5G in Brackenridge. Switching with the eSIM took two minutes. Good plan, average app."
R603,5,"Cheapest plan I have found, Flex 10 is excellent value."
R604,3,"Cheap, but data is slow in Tern Harbour."
R605,5,Fast 5G in Cragwell. Excellent customer service.
R606,1,The app crashes every time I open it. Calls drop constantly in Lowmere. Mobile data is painfully slow.
R607,4,Great coverage everywhere in Eastholm Quay. Friendly staff in the Brackenridge shop. The Flex 10 plan saves our family a fortune.
R608,4,"Fast 5G in Brackenridge. Honest pricing, no surprise charges."
R609,5,The app is simple and paying the bill is easy. Fast 5G in Brackenridge.
R610,1,eSIM activation failed three times. Calls drop constantly in Marrowby.
