ticket_id,received,channel,text
T10601,2026-05-16,sms,"hi there, my corvid 5 pro keeps restarting by itself the courier said it was delivered but it wasn't thx"
T10602,2026-05-05,email,The eSIM will not activate on my Nimbus X2. The charge is not on my contract. This is really not good enough.
T10603,2026-08-08,email,"Hi there, voicemail isn't working and missed calls don't show up. I'm not paying for a service that doesn't work. Thanks, Tobias"
T10604,2026-02-03,email,"Hello Kittiwake, my account says 5G but my Nimbus X2 never shows more than one bar in Eastholm Quay. I can't afford to pay $47.50 this month. Regards, Tobias."
T10605,2026-01-24,chat,My texts are not being delivered to anyone since yesterday. I checked my bank statement and the money has gone. This is really not good enough.
T10606,2026-02-16,sms,"i was charged for a replacement nimbus mini that is still under warranty i have tried a factory reset and it didn't help thx, ines"
T10607,2026-07-13,chat,"Hi there, my bill is going to an old address, please update it to Tern Harbour. I want to return it."
T10608,2026-07-26,email,"To whom it may concern, my Aster Fold keeps restarting by itself. I work from home and I can't do my job without signal. Thanks, Teodor"
T10609,2026-05-18,sms,"hello, my number was moved to another sim without my permission and now i have no signal pls help"
T10610,2026-04-07,email,Mobile data is not working anywhere in Lowmere. Please refund the difference. It was fine until two days ago.
T10611,2026-01-09,chat,"To whom it may concern, I can't log in to anything on my Nimbus Mini since the update, the screen freezes. Please refund the difference."
T10612,2026-04-20,chat,"Hi, my texts are not being delivered to anyone since last Thursday. I'm not paying for a service that doesn't work."
T10613,2026-05-17,email,"Hi, voicemail isn't working and missed calls don't show up. Other networks work fine in the same spot. It was fine until 15 July. Regards, Mara."
T10614,2026-08-26,sms,"my aster fold gets very hot and shuts down i have my id ready if u need it thx, callum"
T10615,2026-07-21,email,The eSIM add-on is on my bill as $36.00 and I never asked for it. I don't want to lose my number. This is really not good enough.
T10616,2026-02-10,chat,"Hello, calls drop as soon as I get on the train to Lowmere. I shouldn't have to pay for something I didn't use. Other networks work fine in the same spot."
T10617,2026-01-26,email,I'm on Flex 10 and paying $96.00 a month but I can't get signal in Marrowby. I shouldn't have to pay for something I didn't use.
T10618,2026-01-21,email,"Hi, I want to move my Aster Fold contract to my daughter's account. Thanks, Teodor"
T10619,2026-07-07,email,"Hello Kittiwake, my account says 5G but my Aster Fold never shows more than one bar in Gullhaven. Regards, Fen."
T10620,2026-05-17,chat,My Nimbus X2 gets very hot and shuts down. Thanks.
T10621,2026-05-14,email,"Good morning, coverage inside my house in Gullhaven is zero bars. I checked my bank statement and the money has gone. Thanks, Fen"
T10622,2026-04-23,sms,"hi, my account says 5g but my aster fold never shows more than one bar in gullhaven i bought it on the flex 30 plan"
T10623,2026-07-10,email,I have had no signal at all in Brackenridge since two days ago. Thank you.
T10624,2026-05-05,email,"Hi there, I have had no signal at all in Gullhaven since two days ago. I want to return it. It's not the phone, it happens on every handset. Thanks."
T10625,2026-06-25,chat,"Hi, I paid my bill two days ago but the app still says it is overdue. Can someone look at my invoice? This is really not good enough."
T10626,2026-02-07,email,"Hi, I'm on Unlimited Plus and paying $91.00 a month but I can't get signal in Eastholm Quay. I don't want to lose my number. Thank you."
T10627,2026-02-13,email,I want to cancel my contract and close my account.
T10628,2026-05-17,chat,"Hi there, data speeds in Marrowby are so slow that pages won't load. Thanks, Bram"
T10629,2026-07-05,sms,"hello, my bill shows calls i never made, i think someone else used my number i have tried 3 times"
T10630,2026-08-04,chat,"Good morning, I'm on Unlimited Plus and paying $50.99 a month but I can't get signal in Marrowby."
T10631,2026-04-19,chat,"Hi there, my bill shows calls I never made, I think someone else used my number. It was fine until 28 October."
T10632,2026-07-17,email,"Hi there, my calls keep dropping in Tern Harbour, sometimes 6 times an hour. This is urgent, I can't access anything."
T10633,2026-02-14,chat,"Hello Kittiwake, I paid my bill on Friday but the app still says it is overdue. The courier said it was delivered but it wasn't. Thanks."
T10634,2026-03-28,email,"To whom it may concern, can you explain the $14.50 data overage charge on my account? I have been a customer for 2 years and this has never happened. Thank you."
T10635,2026-03-24,chat,My texts are not being delivered to anyone since two days ago. I've only had it 13 days.
T10636,2026-02-04,sms,"hello, my account says 5g but my nimbus mini never shows more than one bar in eastholm quay my neighbours on kittiwake mobile have the same problem regards, ines"
T10637,2026-02-05,email,"Hi there, can you explain the $8.25 data overage charge on my account? Nobody has replied to my last message. Regards, Priya."
T10638,2026-08-02,chat,"Hello, the Corvid 5 on my bill has a broken screen and I need a repair. My account number is on the bill. I can't use the phone at all. Thanks."
T10639,2026-04-15,sms,"hi there, the new nimbus mini drops every call, the old one never did in port ember i want to return it"
