review_id,text
R501,"Fine in town, no signal in the countryside."
R502,"Cheap, but data is slow in Marrowby. Works most of the time."
R505,"Fine in town, no signal in the countryside."
R508,"Good plan, average app. Support is friendly but the hold times are long."
R511,"Cheap, but data is slow in Eastholm Quay. The 5G is fast when you can get it."
R515,The 5G is fast when you can get it.
R521,"Good plan, average app. Decent value, though the bill was confusing."
R522,"Good plan, average app. Decent value, though the bill was confusing."
R528,"Coverage is good but the app crashes sometimes. Cheap, but data is slow in Port Ember."
R529,"Support is friendly but the hold times are long. Cheap, but data is slow in Tern Harbour."
R531,"Waited 70 minutes on hold for support. My bill doubled and nobody could explain why. No signal at home in Saltmoor, ever. Support is friendly but the hold times are long."
R532,"No signal at home in Brackenridge, ever. Dropped calls, dropped calls, dropped calls."
R533,Charged roaming fees I never used.
R534,"Cheapest plan I have found, Family Share is excellent value. Support sorted my problem in minutes, really friendly. The 5G is fast when you can get it."
R535,Charged roaming fees I never used.
R536,Works most of the time. The 5G is fast when you can get it.
R537,They overcharged me $86.75 and refused a refund. Calls drop constantly in Cragwell. Mobile data is painfully slow.
R538,Charged roaming fees I never used. The app crashes every time I open it.
R539,"Dropped calls, dropped calls, dropped calls. Charged roaming fees I never used."
R540,Fast 5G in Saltmoor. Never had a dropped call in 5 years.
R541,"Friendly staff in the Marrowby shop. Honest pricing, no surprise charges. Great coverage everywhere in Port Ember."
R542,The Prepay Go plan saves our family a fortune. Friendly staff in the Wrenfield shop.
R543,"Calls drop constantly in Wrenfield. Dropped calls, dropped calls, dropped calls. eSIM activation failed three times."
R544,Excellent customer service.
R545,"Cheapest plan I have found, Flex 10 is excellent value. Great coverage everywhere in Tern Harbour. The 5G is fast when you can get it."
R546,Never had a dropped call in 5 years. Great coverage everywhere in Gullhaven.
R547,Reliable signal even on the train. Never had a dropped call in 7 years. The Prepay Go plan saves our family a fortune.
R548,Mobile data is painfully slow. Waited 40 minutes on hold for support. Calls drop constantly in Lowmere.
R549,Never had a dropped call in 7 years. The Unlimited Plus plan saves our family a fortune.
R550,eSIM activation failed three times. Calls drop constantly in Port Ember.
R551,Calls drop constantly in Saltmoor. My bill doubled and nobody could explain why. Waited 20 minutes on hold for support.
R552,Excellent customer service.
R553,Reliable signal even on the train. Switching with the eSIM took two minutes.
R554,"Cheap, but data is slow in Cragwell. Coverage is good but the app crashes sometimes."
R555,Fast 5G in Lowmere. Reliable signal even on the train.
R556,They overcharged me $46.50 and refused a refund. The app logs me out and won't let me pay my bill.
R557,Friendly staff in the Eastholm Quay shop. Excellent customer service.
R558,"Decent value, though the bill was confusing."
R559,The app is simple and paying the bill is easy.
R560,"Honest pricing, no surprise charges. Excellent customer service. Never had a dropped call in 6 years."
R561,"Cheap, but data is slow in Cragwell."
R562,Great coverage everywhere in Wrenfield. The Flex 10 plan saves our family a fortune. The app is simple and paying the bill is easy.
R563,"No signal at home in Brackenridge, ever."
R564,"Cheapest plan I have found, Unlimited Plus is excellent value. Never had a dropped call in 7 years. Honest pricing, no surprise charges."
R565,"Fine in town, no signal in the countryside. Cheap, but data is slow in Marrowby."
R566,"Dropped calls, dropped calls, dropped calls. They overcharged me $41.00 and refused a refund. Calls drop constantly in Eastholm Quay."
R567,Reliable signal even on the train. Switching with the eSIM took two minutes. Excellent customer service.
R568,"Dropped calls, dropped calls, dropped calls."
R569,"Switching with the eSIM took two minutes. Fast 5G in Wrenfield. Honest pricing, no surprise charges."
R570,"The Prepay Go plan saves our family a fortune. Cheapest plan I have found, Flex 10 is excellent value."
R571,Coverage is good but the app crashes sometimes.
R572,"Dropped calls, dropped calls, dropped calls."
R573,Great coverage everywhere in Cragwell. The Unlimited Plus plan saves our family a fortune.
R574,Fast 5G in Saltmoor. The app is simple and paying the bill is easy.
R575,The app crashes every time I open it. Coverage map is a lie in Lowmere.
R576,Great coverage everywhere in Tern Harbour. The Family Share plan saves our family a fortune. Excellent customer service.
R577,My bill doubled and nobody could explain why. Charged roaming fees I never used.
R578,Fast 5G in Port Ember.
R579,"Cheap, but data is slow in Brackenridge. The 5G is fast when you can get it."
R580,eSIM activation failed three times.
R581,Reliable signal even on the train. Friendly staff in the Brackenridge shop.
R582,The app logs me out and won't let me pay my bill. My bill doubled and nobody could explain why.
R583,"Dropped calls, dropped calls, dropped calls. Charged roaming fees I never used. Calls drop constantly in Eastholm Quay."
R584,"Never had a dropped call in 3 years. Cheapest plan I have found, Flex 30 is excellent value."
R585,"Honest pricing, no surprise charges."
R586,"eSIM activation failed three times. My bill doubled and nobody could explain why. Dropped calls, dropped calls, dropped calls."
R587,"The app is simple and paying the bill is easy. Support sorted my problem in minutes, really friendly."
R588,"Dropped calls, dropped calls, dropped calls. Calls drop constantly in Eastholm Quay."
R589,"Cheapest plan I have found, Flex 30 is excellent value. Support sorted my problem in minutes, really friendly."
R590,"Fine in town, no signal in the countryside. Good plan, average app."
R591,"No signal at home in Marrowby, ever. They overcharged me $108.99 and refused a refund."
R592,eSIM activation failed three times. My bill doubled and nobody could explain why.
R593,Switching with the eSIM took two minutes. The app is simple and paying the bill is easy. Excellent customer service.
R594,They overcharged me $133.00 and refused a refund. My bill doubled and nobody could explain why.
R595,The app crashes every time I open it. The app logs me out and won't let me pay my bill. Works most of the time.
R596,The app logs me out and won't let me pay my bill.
R597,The Flex 30 plan saves our family a fortune. Coverage is good but the app crashes sometimes.
R598,"Great coverage everywhere in Port Ember. The Flex 30 plan saves our family a fortune. Fine in town, no signal in the countryside."
R599,"Decent value, though the bill was confusing. Support is friendly but the hold times are long."
R600,"Never had a dropped call in 5 years. Cheapest plan I have found, Unlimited Plus is excellent value."
R601,The app is simple and paying the bill is easy. Great coverage everywhere in Lowmere.
R602,"Great coverage everywhere in Cragwell. Fast 5G in Brackenridge. Switching with the eSIM took two minutes. Good plan, average app."
R603,"Cheapest plan I have found, Flex 10 is excellent value."
R604,"Cheap, but data is slow in Tern Harbour."
R605,Fast 5G in Cragwell. Excellent customer service.
R606,The app crashes every time I open it. Calls drop constantly in Lowmere. Mobile data is painfully slow.
R607,Great coverage everywhere in Eastholm Quay. Friendly staff in the Brackenridge shop. The Flex 10 plan saves our family a fortune.
R608,"Fast 5G in Brackenridge. Honest pricing, no surprise charges."
