review_id,text,label
R503,Fast 5G in Cragwell. The Unlimited Plus plan saves our family a fortune. Great coverage everywhere in Gullhaven.,1
R504,"The app logs me out and won't let me pay my bill. Coverage map is a lie in Saltmoor. No signal at home in Eastholm Quay, ever.",0
R506,Mobile data is painfully slow. They overcharged me $132.00 and refused a refund.,0
R507,They overcharged me $53.99 and refused a refund. Coverage map is a lie in Gullhaven. Charged roaming fees I never used.,0
R509,"Honest pricing, no surprise charges. Reliable signal even on the train.",1
R510,"No signal at home in Port Ember, ever. The app logs me out and won't let me pay my bill. Calls drop constantly in Cragwell.",0
R512,Great coverage everywhere in Lowmere.,1
R513,"Great coverage everywhere in Gullhaven. Support sorted my problem in minutes, really friendly. Never had a dropped call in 7 years.",1
R514,"Support sorted my problem in minutes, really friendly. Friendly staff in the Cragwell shop. Switching with the eSIM took two minutes.",1
R516,Excellent customer service. Works most of the time.,1
R517,"Switching with the eSIM took two minutes. Cheapest plan I have found, Prepay Go is excellent value. Cheap, but data is slow in Wrenfield.",1
R518,Great coverage everywhere in Cragwell. Reliable signal even on the train. Never had a dropped call in 5 years. Works most of the time.,1
R519,"Support sorted my problem in minutes, really friendly.",1
R520,"Support sorted my problem in minutes, really friendly. Excellent customer service. Never had a dropped call in 3 years. The 5G is fast when you can get it.",1
R523,"Cheapest plan I have found, Unlimited Plus is excellent value. Support sorted my problem in minutes, really friendly.",1
R524,"Cheapest plan I have found, Flex 10 is excellent value. The app is simple and paying the bill is easy.",1
R525,eSIM activation failed three times.,0
R526,"Honest pricing, no surprise charges. The Flex 30 plan saves our family a fortune.",1
R527,Fast 5G in Saltmoor. The Prepay Go plan saves our family a fortune. The app is simple and paying the bill is easy. The 5G is fast when you can get it.,1
R530,The app logs me out and won't let me pay my bill. The app crashes every time I open it.,0
