ticket_id,received,channel,department,text
T10001,2026-04-10,email,network,"Hi there, my calls keep dropping in Port Ember, sometimes 3 times an hour. I have tried a factory reset and it didn't help."
T10002,2026-06-15,chat,device,"Hi, I want to move my Aster Fold contract to my daughter's account. It's not letting me change anything in the app. Thank you."
T10003,2026-04-27,email,billing,"Hello, my direct debit failed and now there is a late payment fee of $17.99. I work from home and I can't do my job without signal. Thanks."
T10004,2026-01-13,sms,billing,there is a charge of $127.00 i dont recognise on my last invoice i want to return it this is really not good enough
T10005,2026-04-03,email,billing,"I was charged $37.00 on my bill but my Prepay Go plan is only $87.25 a month. The charge is not on my contract. Please refund the difference. Thanks, Fen"
T10006,2026-06-02,sms,billing,i was billed for flex 30 but i switched to flex 10 on 24 july the courier said it was delivered but it wasn't thx
T10007,2026-08-03,sms,device,"hello kittiwake, my nimbus x2 shows no service but my partner's phone works fine on the same network it is still under warranty thx, rafi"
T10008,2026-03-01,email,account,I was charged $101.50 after someone else took over my account. I work from home and I can't do my job without signal.
T10009,2026-08-28,email,network,I'm on Family Share and paying $128.50 a month but I can't get signal in Marrowby. Please help.
T10010,2026-04-18,email,device,"Hi there, my new Corvid 5 won't turn on after the update. I need a replacement as soon as possible. Thank you."
T10011,2026-08-12,email,device,My Nimbus X2 gets very hot and shuts down. It was fine until 28 March. I can't use the phone at all.
T10012,2026-06-09,email,billing,"I was charged $89.00 for a Aster Fold I returned this morning. The courier said it was delivered but it wasn't. Thanks, Priya"
T10013,2026-08-26,chat,device,"To whom it may concern, the new Corvid 5 drops every call, the old one never did in Cragwell. I have restarted the phone and it's still not working. Regards, Callum."
T10014,2026-07-25,email,account,"Hello Kittiwake, I want to upgrade from Family Share to Unlimited Plus. This is urgent, I can't access anything. Regards, Oona."
T10015,2026-06-05,sms,account,"hi, i want to move my corvid 5 pro contract to my daughter's account"
T10016,2026-06-06,sms,device,"hello kittiwake, my nimbus x2 battery drains from full to empty in 9 hours i've only had it 14 days it is still under warranty"
T10017,2026-07-27,chat,account,"To whom it may concern, I need a PUK code, my SIM is blocked. I have restarted the phone and it's still not working."
T10018,2026-07-03,email,account,"Hello Kittiwake, I want to move my Nimbus X2 contract to my daughter's account. I don't want to lose my number. Please confirm by email. This is really not good enough."
T10019,2026-05-27,chat,device,"Hi there, since I got the Nimbus Mini there is no data in Gullhaven, and my other phone is the same. Thanks, Wynn"
T10020,2026-05-25,email,billing,I was charged for a replacement Nimbus Mini that is still under warranty. I checked my bank statement and the money has gone. My account number is on the bill. Please help.
T10021,2026-03-09,email,billing,"Hello Kittiwake, I'm paying $13.75 for Unlimited Plus but data barely works in Lowmere, I want money back. I've only had it 3 days. Can someone look at my invoice? Please help."
T10022,2026-03-08,email,account,"To whom it may concern, I want to upgrade from Flex 30 to Flex 10. Please confirm by email."
T10023,2026-08-15,email,billing,"My bill shows calls I never made, I think someone else used my number. I have tried a factory reset and it didn't help."
T10024,2026-06-01,sms,billing,"hello, i was charged $123.50 on my bill but my family share plan is only $106.00 a month i shouldn't have to pay for something i didn't use thx, hedda"
T10025,2026-03-08,email,network,"To whom it may concern, I'm on Flex 10 and paying $72.25 a month but I can't get signal in Brackenridge. I have restarted the phone and it's still not working. Regards, Mara."
T10026,2026-02-14,email,billing,"To whom it may concern, I'm paying $36.50 for Unlimited Plus but data barely works in Brackenridge, I want money back. I don't want to lose my number. Please refund the difference."
T10027,2026-02-23,chat,billing,"Hello Kittiwake, my bill for 2 November is $20.50, which is double what I normally pay. I checked my bank statement and the money has gone."
T10028,2026-06-04,email,billing,"Hello, the Nimbus Mini on my bill has a broken screen and I need a repair. I don't want to lose my number."
T10029,2026-06-06,email,billing,"To whom it may concern, there is a charge of $116.25 I don't recognise on my last invoice. I want to return it."
T10030,2026-04-07,email,account,"Hello, how do I add my son to our Flex 10 plan? This is really not good enough."
T10031,2026-07-02,email,account,"To whom it may concern, I was charged $127.50 after someone else took over my account. I don't want to lose my number."
T10032,2026-03-11,sms,network,"i cant make calls or send texts, it just says no service regards, mara"
T10033,2026-05-03,chat,billing,"To whom it may concern, my direct debit failed and now there is a late payment fee of $26.99. Please confirm by email. Can someone look at my invoice? Thanks, Fen"
T10034,2026-07-25,chat,account,"I want to move my Corvid 5 contract to my daughter's account. Can someone look at my invoice? I have tried 9 times. Thanks, Declan"
T10035,2026-06-23,email,billing,"Hi, I was charged for a replacement Corvid 5 Pro that is still under warranty. I shouldn't have to pay for something I didn't use. Thanks, Wynn"
T10036,2026-01-12,email,network,"Hi, I have had no signal at all in Eastholm Quay since last Wednesday. This is urgent, I can't access anything. I work from home and I can't do my job without signal."
T10037,2026-01-24,email,network,"Hi there, voicemail isn't working and missed calls don't show up. It's not the phone, it happens on every handset. Thanks, Ines"
